web-scraper-order,web-scraper-start-url,product-link,product-link-href,product-image-src,product-title,product-price
"1585504090-162","https://www.lifepharmacy.com/preventive-care.html","Solgar Vitamin C 1000mg With Rose Hips Tablets 100's","https://www.lifepharmacy.com/solgar-vitamin-c-1000mg-with-rose-hips-tablets-100-s.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/1/0/105089-vitamin_c_1000mg_with_rose_hips_1.jpg","Solgar Vitamin C 1000mg With Rose Hips Tablets 100's","AED 108.00"
"1585504108-169","https://www.lifepharmacy.com/preventive-care.html","Nz Health Umf Manuka Honey 8+ With Ginger 500 gm","https://www.lifepharmacy.com/nz-health-umf-manuka-honey-8-with-ginger-500-g.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/n/z/nz-health-umf-manuka-honey-8-with-ginger-500g-6009.jpg","Nz Health Umf Manuka Honey 8+ With Ginger 500 gm","AED 280.00"
"1585504130-177","https://www.lifepharmacy.com/preventive-care.html","All Day Antibacterial Wet Wipes 10's","https://www.lifepharmacy.com/antibacterial-wipes-10-s.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/a/n/anti-bacterial-wipes.jpg","All Day Antibacterial Wet Wipes 10's","AED 8.00"
"1585504105-168","https://www.lifepharmacy.com/preventive-care.html","Nz Health Umf Manuka Honey 20+ 250gm","https://www.lifepharmacy.com/nz-health-umf-manuka-honey-20-250-g.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/2/0/20_250g_box_only_.jpg","Nz Health Umf Manuka Honey 20+ 250gm","AED 429.00"
"1585504103-167","https://www.lifepharmacy.com/preventive-care.html","Life First Aid Kit 1-10 Flexibox","https://www.lifepharmacy.com/life-first-aid-kit-1-10-flexibox.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/l/i/life-first-aid-kit-1-10flexibox-l.jpg","Life First Aid Kit 1-10 Flexibox","AED 99.00"
"1585504077-157","https://www.lifepharmacy.com/preventive-care.html","Elave Junior Sensitive Hand Wash 500 Ml","https://www.lifepharmacy.com/elave-junior-sensitive-hand-wash-500-ml.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/e/l/elave-junior-sensitive-hand-wash-500ml_1.jpg","Elave Junior Sensitive Hand Wash 500 Ml","AED 65.00"
"1585504100-166","https://www.lifepharmacy.com/preventive-care.html","Sunshine Nutrition Vitamin C 1000mg With Rosehips 100 Tablets","https://www.lifepharmacy.com/sunshine-nutrition-vitamin-c-1000mg-with-rosehips-100-tablets.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/s/u/sunshine-n-vitamin-c-1000-mg-with-rosehips-100-tab_3.jpg","Sunshine Nutrition Vitamin C 1000mg With Rosehips 100 Tablets","AED 119.00"
"1585504132-178","https://www.lifepharmacy.com/preventive-care.html","Himalaya Hand Sanitizer Gel 50ML","https://www.lifepharmacy.com/himalaya-hand-sanitizer-gel-50ml.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/h/i/himalaya-hand-sanitizer_01_1.jpg","Himalaya Hand Sanitizer Gel 50ML","AED 12.50"
"1585504080-158","https://www.lifepharmacy.com/preventive-care.html","Panadol Advance Tablets 24's","https://www.lifepharmacy.com/panadol-advance-tablets-24-s.html","","Panadol Advance Tablets 24's","AED 10.00"
"1585504083-159","https://www.lifepharmacy.com/preventive-care.html","Betadine Mouthwash  Gargle 125 ml","https://www.lifepharmacy.com/betadine-mouthwash-gargle-125-ml.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/b/e/betadine-m-w-garg-125ml_2.jpg","Betadine Mouthwash  Gargle 125 ml","AED 45.00"
"1585504141-182","https://www.lifepharmacy.com/preventive-care.html","Hand Sanitizer Aerosol Spray 120 ml-New NB","https://www.lifepharmacy.com/hand-sanitizer-aerosol-spray-120-ml-new-nb.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/n/b/nb_01_1.jpg","Hand Sanitizer Aerosol Spray 120 ml-New NB","AED 12.00"
"1585504110-170","https://www.lifepharmacy.com/preventive-care.html","Wedderspoon Raw Monofloral Manuka Honey KF 16 500 g","https://www.lifepharmacy.com/wedderspoon-raw-monofloral-manuka-honey-kf-16-500-g.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/1/2/128098-wedderspoon_raw_monofloral_manuka_honey_kf_16_500_g.jpg","Wedderspoon Raw Monofloral Manuka Honey KF 16 500 g","AED 249.00"
"1585504120-174","https://www.lifepharmacy.com/preventive-care.html","Melora 20+ Umf Manuka Honey 250g","https://www.lifepharmacy.com/melora-20-umf-manuka-honey-250-g.html","https://www.lifepharmacy.com/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/m/e/melora-20-umf-manuka-honey-250gm.jpg","Melora 20+ Umf Manuka Honey 250g","AED 449.00"
